iter	Passed	Remaining
0	681	5169088
1	1374	5212431
2	1981	5010268
3	2657	5038735
4	3303	5010743
5	4000	5055790
6	4615	4998096
7	4818	4565530
8	5355	4509668
9	5907	4477068
10	6271	4319592
11	6825	4309246
12	7287	4246313
13	7909	4279049
14	8561	4322482
15	9091	4302575
16	9626	4287215
17	9797	4120404
18	10266	4090035
19	10856	4108211
20	11271	4061573
21	11839	4071552
22	12193	4010668
23	12437	3919997
24	12631	3821337
25	12799	3722749
26	13168	3687576
27	13311	3594169
28	13818	3601782
29	14410	3630553
30	14978	3651463
31	15476	3654503
32	16046	3673758
33	16211	3601824
34	16452	3550350
35	16979	3562025
36	17503	3572086
37	17889	3554409
38	18390	3559703
39	19016	3588399
40	19444	3579283
41	19826	3562192
42	20264	3555765
43	20875	3579140
44	21460	3597308
45	21618	3544425
46	22167	3556658
47	22475	3530566
48	22907	3524493
49	23180	3494660
50	23749	3509739
51	24286	3519677
52	24614	3499414
53	25261	3524507
54	25586	3504360
55	26111	3512035
56	26719	3530310
57	27254	3538370
58	27386	3494843
59	27952	3507160
60	28553	3523278
61	29107	3533237
62	29582	3533462
63	29722	3494210
64	30035	3476229
65	30629	3490790
66	31125	3493984
67	31346	3466571
68	31855	3471272
69	32381	3477784
70	32482	3439025
71	32969	3441654
72	33328	3431007
73	33821	3434234
74	34041	3410041
75	34478	3407916
76	35085	3422402
77	35319	3400587
78	35851	3407733
79	36097	3387723
80	36348	3368716
81	36915	3379110
82	37400	3381814
83	37546	3354185
84	38167	3369052
85	38690	3375086
86	39304	3388786
87	39576	3373005
88	40037	3373461
89	40540	3377467
90	41062	3382944
91	41686	3396541
92	42204	3401288
93	42663	3401274
94	43055	3395951
95	43653	3406814
96	44046	3401570
97	44702	3416521
98	45255	3423428
99	45819	3430997
100	46382	3438273
101	46641	3423127
102	46876	3406538
103	47526	3420096
104	48056	3424857
105	48556	3427334
106	48773	3410040
107	48944	3389829
108	49457	3393479
109	49677	3377197
110	50306	3388644
111	50908	3398124
112	51424	3401785
113	51981	3408004
114	52405	3405432
115	52711	3395378
116	53144	3393498
117	53448	3383591
118	54006	3389679
119	54584	3397005
120	55271	3410857
121	55824	3416288
122	56185	3409962
123	56744	3415681
124	57211	3415743
125	57378	3398091
126	57924	3402944
127	58428	3405263
128	58595	3388113
129	58748	3370346
130	59336	3377628
131	60087	3394023
132	60293	3379599
133	60936	3389722
134	61446	3392313
135	61953	3394699
136	62531	3400879
137	62781	3389291
138	62945	3373241
139	63073	3355502
140	63664	3362492
141	64263	3369754
142	64530	3359662
143	64670	3343131
144	65252	3349484
145	65892	3358718
146	66388	3360509
147	66890	3362585
148	67405	3365294
149	67980	3370948
150	68185	3358248
151	68765	3364090
152	68929	3349605
153	69425	3351381
154	69583	3336867
155	69684	3319862
156	69876	3307319
157	70439	3312435
158	70887	3312111
159	70987	3295610
160	71225	3285640
161	71844	3293324
162	72484	3301807
163	73095	3308908
164	73392	3301774
165	73999	3308576
166	74658	3317627
167	74964	3310926
168	75104	3297030
169	75627	3300028
170	75864	3290577
171	76390	3293658
172	76492	3278558
173	76795	3272203
174	76996	3261579
175	77637	3269580
176	77982	3265127
177	78171	3254221
178	78310	3241351
179	78891	3246827
180	79030	3234140
181	79135	3220222
182	79239	3206366
183	79729	3208242
184	79982	3200612
185	80433	3200909
186	80991	3205458
187	81423	3204984
188	81664	3197026
189	82145	3198470
190	82716	3203410
191	83352	3210816
192	83846	3212675
193	84008	3201836
194	84525	3204596
195	84837	3199573
196	85465	3206472
197	85967	3208600
198	86608	3215836
199	87134	3218752
200	87671	3222052
201	88251	3226855
202	88831	3231619
203	89198	3228635
204	89857	3236194
205	90554	3245028
206	91073	3247407
207	91312	3239848
208	91519	3231192
209	92135	3237039
210	92648	3239184
211	92821	3229498
212	93459	3235981
213	93968	3237978
214	94522	3241453
215	95111	3246133
216	95701	3250771
217	96390	3258698
218	96860	3259206
219	97396	3261881
220	97984	3266311
221	98421	3265650
222	98999	3269650
223	99135	3259092
224	99304	3249696
225	99647	3246038
226	100129	3246941
